nama,alamat,nama_bangunan,nama_jalan,rt,rw,kelurahan,kecamatan,kota,kode_pos,telepon,fax,selular,ukuran_usaha,kategori_usaha,kegiatan_usaha,jenis_usaha,siup,npwp
PEDAGANG KUE BASAH SUI CING,"Jl. Melawai IX, Jakarta Selatan",,Jl. Melawai IX,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE BASAH SUWARNO,"Jl. Melawai IX, Jakarta Selatan",,Jl. Melawai IX,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE BASAH TABA,"Jl. Melawai IX, Jakarta Selatan",,Jl. Melawai IX,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE CUBIT MAMAN KARISMAN,"Jl. Bukit Duri Besar Jl. Kebon Sayur No. 35, RT009/003, Jakarta Selatan",,Jl. Bukit Duri Besar Jl. Kebon Sayur No. 35,009,003,,,Jakarta Selatan,,081519526176,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE DIDI,Gg Amal Iii,Gg Amal Iii,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
PEDAGANG KUE DONAT PAIMIN,"Jl. Kuningan Barat III No. 21, Jakarta Selatan",,Jl. Kuningan Barat III No. 21,,,,,Jakarta Selatan,,085229956627,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE ENDAH,Pasar Cipete Samping Bang Basri,Pasar Cipete Samping Bang Basri,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE ENDANG,"Jl. Swadaya II Gg. Gurame No. 18, Jakarta Selatan",,Jl. Swadaya II Gg. Gurame No. 18,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE HENI,"Jl. Swadaya II No. 6, Jakarta Selatan",,Jl. Swadaya II No. 6,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE IYEB,"Jl. Simprug Golf 2, Jakarta Selatan",,Jl. Simprug Golf 2,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE KASMI,"Jl. Rs Fatmawati Pasar Cipete Lt Dasar, Jakarta Selatan",,Jl. Rs Fatmawati Pasar Cipete Lt Dasar,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE NADIRA,"Jl. Minang Kabau Dalam Ii, Jakarta Selatan",,Jl. Minang Kabau Dalam Ii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE PANCONG AMIRUDIN,"Jl. Permata Hijau 2, Jakarta Selatan",,Jl. Permata Hijau 2,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE RUM,Pasar Tebet Barat Blok B,Pasar Tebet Barat Blok B,,,,,,Jakarta Selatan,,02183795850,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE SUHADA,"Jl. Flamboyan3, Jakarta Selatan",,Jl. Flamboyan3,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Dagang aneka macam kue kering,PERORANGAN,,
PEDAGANG KUE SUKARTI,"Jl. H Gandun No. 36, Jakarta Selatan",,Jl. H Gandun No. 36,,,,,Jakarta Selatan,,75906423,,,Usaha Mikro ,Jasa / Produksi Lainnya,,PERORANGAN,,
PEDAGANG KUE TAKOYAKI PARLIN,"Jl. Melawai IX, Jakarta Selatan",,Jl. Melawai IX,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUE YULI ROSITA,"Jl. Petogogan I Gg. V No. 49, Jakarta Selatan",,Jl. Petogogan I Gg. V No. 49,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa / Produksi Lainnya,,PERORANGAN,,
PEDAGANG KUSEN MITRA SARANA,"Jl. Taman Bukit Duri, Jakarta Selatan",,Jl. Taman Bukit Duri,,,,,Jakarta Selatan,,8292878,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG KUSEN PINTU AKSAN,"Jl. Pln Duren 3 No. 14, Jakarta Selatan",,Jl. Pln Duren 3 No. 14,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Dagang kusen pintu dan jendela,PERORANGAN,,
PEDAGANG LAYANG LAYANG IDUD,"Jl. Simprug Golf 2, Jakarta Selatan",,Jl. Simprug Golf 2,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG LIPTON ICE TE WANTO,"Jl. Gandaria Tengah 5, Jakarta Selatan",,Jl. Gandaria Tengah 5,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Menjual minuman lipton ice tea,PERORANGAN,,
PEDAGANG LONTONG KARTINI,"Jl. Rawa Simprug V, Jakarta Selatan",,Jl. Rawa Simprug V,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG LONTONG SAYUR GATI,"Jl. Pondok Jaya Viii, Jakarta Selatan",,Jl. Pondok Jaya Viii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG LONTONG SAYUR MUNTARINI,"Jl. Yonzikon 14, Jakarta Selatan",,Jl. Yonzikon 14,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG LONTONG SAYUR SARNI,"Jl. Lapangan Tembak Gg. Nangka, Jakarta Selatan",,Jl. Lapangan Tembak Gg. Nangka,,,,,Jakarta Selatan,,78846537,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG LUMPIA BUDIANTO,"Jl. Kartanegara, Jakarta Selatan",,Jl. Kartanegara,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAIANAN ANAK KIRNO,"Jl. Mampang Prapatan XV No. 13 B, Jakarta Selatan",,Jl. Mampang Prapatan XV No. 13 B,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAIANAN RULLY,"Jl. Damai No. 12 Gg. Sdn, Jakarta Selatan",,Jl. Damai No. 12 Gg. Sdn,,,,,Jakarta Selatan,,08561266327,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN ANAK ANGGA,"Jl. Samali, Jakarta Selatan",,Jl. Samali,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN ANAK IYUS,"Jl. Tanah Baru V, RT002/001, Jakarta Selatan",,Jl. Tanah Baru V,002,001,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN ANAK MAHMUD,"Jl. Simprug Golf, Jakarta Selatan",,Jl. Simprug Golf,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN CAKRIM,"Jl. Pejaten Barat Depan Sd 11, Jakarta Selatan",,Jl. Pejaten Barat Depan Sd 11,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN DARSONO,"Jl. Agung Raya II Gg. Pandawa I, Jakarta Selatan",,Jl. Agung Raya II Gg. Pandawa I,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN INDRA,"Jl. Pedurenan Masjid I, Jakarta Selatan",,Jl. Pedurenan Masjid I,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN JONO,"Jl. Depan Tmp Kalibata, Jakarta Selatan",,Jl. Depan Tmp Kalibata,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN KASTO,"Jl. Kampung Setu Sereng Sawah, Jakarta Selatan",,Jl. Kampung Setu Sereng Sawah,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN MAMAN,"Jl. Kebun Nanas 5, RT002/010, Jakarta Selatan",,Jl. Kebun Nanas 5,002,010,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN NANANG,"Jl. Menteng Wadas, Jakarta Selatan",,Jl. Menteng Wadas,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN RIAN,Pasar Ciplak,Pasar Ciplak,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAINAN WACIM,"Jl. Agung Raya 2 No. 69, Jakarta Selatan",,Jl. Agung Raya 2 No. 69,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAJALAH JAMAL,"Jl. Panjang, Jakarta Selatan",,Jl. Panjang,,,,,Jakarta Selatan,,72795225,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAJALAH SONY,"Jl. S Hasanudin Dalam, Jakarta Selatan",,Jl. S Hasanudin Dalam,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Dagang koran dan majalah,PERORANGAN,,
PEDAGANG MAKANAN ABDUL ROJAK,"Jl. Sonton No. 25, Jakarta Selatan",,Jl. Sonton No. 25,,,,,Jakarta Selatan,,7801175,,,Usaha Mikro ,Perdagangan,Dagang makanan dan minuman ringan,PERORANGAN,,
PEDAGANG MAKANAN BURUNG M NASEH,"Jl. Kali Bata No. 17 B, Jakarta Selatan",,Jl. Kali Bata No. 17 B,,,,,Jakarta Selatan,,7948516,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN DAN MINUMAN EMI,"Jl. Tmp Kalibata No. 56, Jakarta Selatan",,Jl. Tmp Kalibata No. 56,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN DAN MINUMAN UDIN,"Jl. Palbatu, Jakarta Selatan",,Jl. Palbatu,,,,,Jakarta Selatan,,0218356731,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN DEWI,"Jl. Terminal, Jakarta Selatan",,Jl. Terminal,,,,,Jakarta Selatan,,08561957721,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN IBU MANSYUR,"Jl. Kampung Baru 5 No. 14, Jakarta Selatan",,Jl. Kampung Baru 5 No. 14,,,,,Jakarta Selatan,,58905145,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN IPAH,"Jl. Menteng Atas Selatan, Jakarta Selatan",,Jl. Menteng Atas Selatan,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN ITA WARSITA,Bukit Duri Puteran Kebun Sayur No. 8,Bukit Duri Puteran Kebun Sayur No. 8,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN KECIL HARUN,"Jl. Bangka Raya Gg. Amal IV No. 16, Jakarta Selatan",,Jl. Bangka Raya Gg. Amal IV No. 16,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN KECIL TUTI SUPENO,"Jl. Minangkabau Timur, Jakarta Selatan",,Jl. Minangkabau Timur,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN KERING NENING,"Jl. Pengadegan Barat Blok E, Jakarta Selatan",,Jl. Pengadegan Barat Blok E,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN KOTIMAH,"Jl. Raya H Sarin No. 27, Jakarta Selatan",,Jl. Raya H Sarin No. 27,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN LONTONG SUKIYEM,"Jl. Swadaya No. 11, Jakarta Selatan",,Jl. Swadaya No. 11,,,,,Jakarta Selatan,,78884384,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN RINGAN WIDI SUNARTI,lt. 1 Pasar Blok A,lt. 1 Pasar Blok A,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN SUSI,"Jl. Wolter Mongonsidi, Jakarta Selatan",,Jl. Wolter Mongonsidi,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MAKANAN TUTI,"Jl. Rawa Bambu, Jakarta Selatan",,Jl. Rawa Bambu,,,,,Jakarta Selatan,,7810787,,,Usaha Mikro ,Perdagangan,Dagang makanan dan minuman ringan,PERORANGAN,,
PEDAGANG MARATBAK HADIM,"Jl. Tegal Parang Selatan 3, Jakarta Selatan",,Jl. Tegal Parang Selatan 3,,,,,Jakarta Selatan,,081310813860,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MARTABAK AMID,"Jl. Panglima Polim, Jakarta Selatan",,Jl. Panglima Polim,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MARTABAK BANGKA AMIN,"Jl. Kalibata Tengah, Jakarta Selatan",,Jl. Kalibata Tengah,,,,,Jakarta Selatan,,081514446583,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MARTABAK DARJO,"Jl. Panglima Polim, Jakarta Selatan",,Jl. Panglima Polim,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MARTABAK HARRIS,"Jl. Panjang, Jakarta Selatan",,Jl. Panjang,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MARTABAK MUJIANTO,"Jl. Raya Depok, Jakarta Selatan",,Jl. Raya Depok,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MARTABAK TELOR RAHMAN,"Jl. Kemandoran Vii, Jakarta Selatan",,Jl. Kemandoran Vii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MASAKAN PADANG SOMADI,"Jl. Agung Raya II No. 20a, Jakarta Selatan",,Jl. Agung Raya II No. 20a,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MASISAN NN,Basement I Pasaraya Manggarai,Basement I Pasaraya Manggarai,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MELAMIN BIHAN,"Jl. Tebah Ii, Jakarta Selatan",,Jl. Tebah Ii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Menjual alat dapur melamin,PERORANGAN,,
PEDAGANG MIE ASEP,"Jl. Tebah Iv, Jakarta Selatan",,Jl. Tebah Iv,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Menjual mie rebus,PERORANGAN,,
PEDAGANG MIE AYAM / OLES,"Jl. Darmawangsa Vii, Jakarta Selatan",,Jl. Darmawangsa Vii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM ALI,"Jl. Langsat 3, Jakarta Selatan",,Jl. Langsat 3,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM BUDIMAN,"Jl. Simprug Gol 1, Jakarta Selatan",,Jl. Simprug Gol 1,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM BUKURI,"Jl. Palmerah, Jakarta Selatan",,Jl. Palmerah,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM GURITNO,"Jl. Karet Gusuran Sudirman (metropolitan I), Jakarta Selatan",,Jl. Karet Gusuran Sudirman (metropolitan I),,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM KASDI,"Jl. Tentara Belajar, Jakarta Selatan",,Jl. Tentara Belajar,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM KASTIMAN,"Jl. Lenteng Agung Raya, Jakarta Selatan",,Jl. Lenteng Agung Raya,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM LASNA,"Jl. Bangka 9, Jakarta Selatan",,Jl. Bangka 9,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM LUKMAN,"Jl. Bina Harapan No. 44, Jakarta Selatan",,Jl. Bina Harapan No. 44,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM NURUL/MAHES,"Taman Bakri /, Jl. Rs Aini, Jakarta Selatan",Taman Bakri /,Jl. Rs Aini,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM PAK DE,"Jl. Mampang Prapatan XI Gg. H Dahlan, Jakarta Selatan",,Jl. Mampang Prapatan XI Gg. H Dahlan,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM PANGSIT TURYONO,"Jl. Bangka Raya Gg. Satria, Jakarta Selatan",,Jl. Bangka Raya Gg. Satria,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM PRIYONO,"Jl. Bangka Raya Gg. Amal Iv, Jakarta Selatan",,Jl. Bangka Raya Gg. Amal Iv,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM RIYONO,"Jl. Sultan Hasanudin, Jakarta Selatan",,Jl. Sultan Hasanudin,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM ROSO,"Jl. Kemang Utara, Jakarta Selatan",,Jl. Kemang Utara,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM RUSLI,"Jl. Kemang Raya, Jakarta Selatan",,Jl. Kemang Raya,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SANTO,"Jl. Melati Gg. Yahya, Jakarta Selatan",,Jl. Melati Gg. Yahya,,,,,Jakarta Selatan,,816703571,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SANUSI,"Jl. Kemandoran VIII Depan Panen Mas Agung, Jakarta Selatan",,Jl. Kemandoran VIII Depan Panen Mas Agung,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SIDI,"Jl. Petogogan I Gg. V  No. 42, RT009/011, Jakarta Selatan",,Jl. Petogogan I Gg. V  No. 42,009,011,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SITI,"Jl. Rawa Bambu I, Jakarta Selatan",,Jl. Rawa Bambu I,,,,,Jakarta Selatan,,08179120558,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SUGIARTI,Cidodol Rt 02 Rw 06,Cidodol Rt 02 Rw 06,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SUKATNO,"Jl. H.Pekir, Jakarta Selatan",,Jl. H.Pekir,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SULANTO,"Jl. Damai 3, Jakarta Selatan",,Jl. Damai 3,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SUPAN SISWANTO,"Jl. Pancoran Barat Xi, Jakarta Selatan",,Jl. Pancoran Barat Xi,,,,,Jakarta Selatan,,081574404214,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SURIP,"Jl. Daksa 3, Jakarta Selatan",,Jl. Daksa 3,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM SUWARNO,"Jl. Widya Candra 5, Jakarta Selatan",,Jl. Widya Candra 5,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM TARMIN,Komplek Inkopan,Komplek Inkopan,,,,,,Jakarta Selatan,,081513871611,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM TUGIYO,"Jl. Simprug Golf 2, Jakarta Selatan",,Jl. Simprug Golf 2,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM UJANG,"Jl. Gatot Subroto Kav. 55 Samping Wisma Baja, Jakarta Selatan",,Jl. Gatot Subroto Kav. 55 Samping Wisma Baja,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE AYAM WANDA,"Jl. Srengseng Sawah, Jakarta Selatan",,Jl. Srengseng Sawah,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE DOK DOK RIDHO,"Jl. Rasamala VII No. 31, Jakarta Selatan",,Jl. Rasamala VII No. 31,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE INSTAN RIDA,"Jl. Rawa Simpruk, Jakarta Selatan",,Jl. Rawa Simpruk,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE INSTANT MARYATI,Gg Seruni,Gg Seruni,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE JUHI IPIN,"Jl. Sawah Lunto, Jakarta Selatan",,Jl. Sawah Lunto,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE KOCOK NANA,"Jl. Kelapa Tiga, Jakarta Selatan",,Jl. Kelapa Tiga,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MIE PANGSIT SIMPUR,"Jl. Tebet Barat Dalam Raya No. 46, Jakarta Selatan",,Jl. Tebet Barat Dalam Raya No. 46,,,,,Jakarta Selatan,,8295602,8295602,,Usaha Mikro ,Perdagangan,Dagang makanan dan minuman jadi,PERORANGAN,,
PEDAGANG MIE PANGSIT SUTIKNO,Komplek Bank Indonesia,Komplek Bank Indonesia,,,,,,Jakarta Selatan,,085692300985,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
"PEDAGANG MILO,ORANGE ERWIN","Jl. A Dahlan, Jakarta Selatan",,Jl. A Dahlan,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN BUAH AHMAD,"Jl. Arteri Tentara Pelajar, Jakarta Selatan",,Jl. Arteri Tentara Pelajar,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN FANTA AGIS,"Jl. Muria Dalam No. 3, Jakarta Selatan",,Jl. Muria Dalam No. 3,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN IIN,"Jl. Denpasar I, Jakarta Selatan",,Jl. Denpasar I,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN IIT,"Jl. Aup, Jakarta Selatan",,Jl. Aup,,,,,Jakarta Selatan,,91183685,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN IQBAL,"Jl. Melawai IV Sebelah Barat, Jakarta Selatan",,Jl. Melawai IV Sebelah Barat,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN JURNALIS,"Jl. Musyawarah, Jakarta Selatan",,Jl. Musyawarah,,,,,Jakarta Selatan,,081808527873,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN M RIO,"Jl. Rawa Bambu, Jakarta Selatan",,Jl. Rawa Bambu,,,,,Jakarta Selatan,,7805313,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN MAMAT,"Jl. Kyai Maja Js 25, Jakarta Selatan",,Jl. Kyai Maja Js 25,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN MARSIH,"Jl. Juraganan, RT005/008, Jakarta Selatan",,Jl. Juraganan,005,008,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN MARYADI,"Jl. Birah II Depan Lapangan Blok S, Jakarta Selatan",,Jl. Birah II Depan Lapangan Blok S,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN MUSTARI,"Jl. Tebah Iii, Jakarta Selatan",,Jl. Tebah Iii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN NATA ALI,"Jl. Karbela Timur No. 22, Jakarta Selatan",,Jl. Karbela Timur No. 22,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN NUNUNG,"Jl. H Dilun No. 5, Jakarta Selatan",,Jl. H Dilun No. 5,,,,,Jakarta Selatan,,73880016,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN RINGAN ABDUL,"Jl. Sultan Hasanudin, Jakarta Selatan",,Jl. Sultan Hasanudin,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN RINGAN ABDUL MAJIT,"Jl. Sultan Hasanudin, Jakarta Selatan",,Jl. Sultan Hasanudin,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN RINGAN DEA,"Jl. Pancoran Barat X No. 11, Jakarta Selatan",,Jl. Pancoran Barat X No. 11,,,,,Jakarta Selatan,,02179833464,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
PEDAGANG MINUMAN RINGAN MUGIYONO,"Jl. Falatehan Raya, Jakarta Selatan",,Jl. Falatehan Raya,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
