No.,Nama & Alamat,Kegiatan Usaha,Badan Hukum
8281,"*PADANG PANJANG CLOSET*
Jl sultan agung no 65 e

Jakarta Selatan -
Ph:021-8311868 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8282,"*PADANG TERANG BULAN, R.M, PO*
Jl. yos sudarso no. 22 rt.001/010
Kec. tanjung priuk
Jakarta Utara -
Ph:43936239 / Fax:4350884 / Hp:","Usaha Kecil (Makanan) 
Restoran / rumah makan talam kencana","PERORANGAN
Siup: SUDIN PARIWISATA: NO. 35/JU011.858
NPWP: 6,744,744,1-042,000"
8283,"*PADEMANGAN JAYA, TOKO*
Pd.pasar jaya pademangan timur blok a lt.los aks no.050
Kec. pademangan
Jakarta Utara -
Ph:6406037 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(52326) perdagangan eceran khusus perhiasan di dal","PERORANGAN
Siup: SUDIN KOP. UMKM DAN PERDAGANGAN JAKUT NOMOR 977/1,
NPWP: 06,761,379,4-044,999"
8284,"*PADI GRIYA SENI*
Jl. patal senayan no. 1b jakarta selatan
Kec. kebayoran lama
Jakarta Selatan -
Ph:(021) 57992673 / Fax: / Hp:",(Perdagangan),"P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8285,"*PADI SUPER RESI MARDI WASONO*
Jl lenteng

Jakarta Selatan -
Ph:7866310 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8286,"*PAGER WOJO PRIMA, PT*
Jl.parang tritis raya no.1e-ea-eb
Kec. pademangan
Jakarta Utara -
Ph:6918208 / Fax:6030860 / Hp:","Usaha Menengah (Jasa) 
(63500) jasa pengiriman dan pengepakan lainnya","P.T. (Perseroan Terbatas)
Siup: DINAS KOP, UMKM DAN PERDAGANGANA DKI JKT NOMOR 086
NPWP: 02,791,812,7-044,000"
8287,"*PAGI LUCHA*  
Jl. h. muhi vi no.23 jakarta 12310
Kec. kebayoran lama
Jakarta Selatan -
Ph:(021) 7650573 / Fax: / Hp: 0812 940 5257",(Perdagangan),"P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8288,"*PAHLEVI ASSESORIS*  
Pasar batu aji rawa bening, jatinegara
Kec. jatinegara
Jakarta Timur -
Ph:0818869542 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Assesoris, batu aji","Siup: SUDIN KOPERASI, USAHA MIKRO KECIL DAN MENENGAH DAN
NPWP:"
8289,"*PAITON ENERGY, PT*
Sentral senayan ii lt.5 jl asia afrika no.8
Kec. tanah abang
Jakarta Pusat -
Ph:57974254 / Fax:57924575 / Hp:",Usaha Menengah (),"P.T. (Perseroan Terbatas)
Siup: BKPM NO.30/I/PMA/1993
NPWP: 01.070.831.1.058.000"
8290,"*PAK MIN PLAT*
Jl raya pos pengumben

Jakarta Barat -
Ph:02171639684 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat plat nomor dan reklame","PERORANGAN
Siup:
NPWP:"
8291,"*PAKAIAN JADI*
Jl. darma bakti rt.06/010

Jakarta Barat -
Ph:021 - 70608716 / 081514360917 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Pakaian jadi","Siup: KOTA ADMINISTRASI JAKARTA BARAT
NPWP:"
8292,"*PAKITA MITRA SEJATI, PT*
Ruko cempaka mas blok d30

Jakarta Pusat -
Ph:42888172 / Fax:4288173 / Hp:","Usaha Kecil (Jasa) 
(binary/image)","P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8293,"*PALAPA MOTOR*
Ps mobil kemayoran blok a

Jakarta Pusat -
Ph:0216540822 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa pemasangan variasi motor","PERORANGAN
Siup:
NPWP:"
8294,"*PALAPA SAKTI MOTOR*
Ps mobil kemayoran blok h no 10

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Bengkel dan perdagangan sparepart","PERORANGAN
Siup:
NPWP:"
8295,"*PANA PUTRA MANDIRI, PT*  
Komp.harco mangga dua blok f no.7 mangga dua raya
Kec. sawah besar
Jakarta Pusat -
Ph:021-6121154 / Fax:021-6121154 / Hp:","Usaha Kecil (Perdagangan) 
Peralatan dan perlengkapan rumah tangga","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG
NPWP: 02.530.621.8.026.000"
8296,"*PANA SENTER*  
Mall ciputra lt iv no 7

Jakarta Barat -
Ph:5681501 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa wartel","PERORANGAN
Siup:
NPWP:"
8297,"*PANAH KENCANA ANUGRAH, PT*
Jl. kayu putih utara c/17 jakarta timur 13260

Jakarta Timur -
Ph:(021) 267 06918 / Fax: / Hp:","Usaha Kecil () 
Perabot rumah tangga, furniture, meubelair/ hasil","Siup: KEPALA DINAS KUKM DAN PERDAGANGAN PROV. DKI JAKART
NPWP:"
8298,"*PANAJAYA TELINDO*
Jl kepu dalam no 295

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8299,"*PANAMA TAILOR*
Gang macan no 12

Jakarta Barat -
Ph:93622894 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa penjahitan","PERORANGAN
Siup:
NPWP:"
8300,"*PANCA BROTHER BAHAGIA, PT*
Jl tauladan no 2

Jakarta Pusat -
Ph:5733526 / Fax:5733526 / Hp:","Usaha Kecil (Jasa) 
Decoration interior konstruksi","P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8301,"*PANCA CELL*
Kramat jati indah plaza lt. dua f2 137 s jakarta timur 13510

Jakarta Timur -
Ph:(021) 37555611 / Fax:(021) 37555611 / Hp:","Usaha Mikro () 
Handphone dan aksesorisnya","Siup: KEPALA DINAS KUKM DAN PERDAGANGAN PROV. DKI JAKART
NPWP: 88.792.301.9-005.000"
8302,"*PANCA DHAKSA ABADI, PT*
Jl. siaga raya komp bapenas no.58 rt 002/016 kel. pejaten barat
Kec. pasar minggu
Jakarta Selatan -
Ph:7971062 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan besar lainnya","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG:SIUP NO.0078/1.824.51
NPWP: 21,741,764,0,17"
8303,"*PANCA JAYA IMAM*
Jl hadiah ujung

Jakarta Barat -
Ph:5646169 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8304,"*PANCA MAKMUR SEJAHTERA, PT*
Jl.keranji no.39 rt 004/06 ciganjur, jagakarsa
Kec. jagakarsa
Jakarta Selatan -
Ph:78881075 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan eceran khusus mesin lainnya di dlm ban","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG:SIUP NO.1.824.51
NPWP: 21,742,382,0,17"
8305,"*PANCA MEDIKAL ORIENTAL, PT*
Jl kompleks taman ria senayan

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Kecil (Jasa) 
(binary/image)","P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8306,"*PANCA MITRA MAKMUR LESTARI, PT*
Jl. daan mogot komp. rasa sayang blok e/24 kel. wijaya kusuma, grogol
Kec. grogol petamburan
Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Menengah (Makanan) 
Pengolahan/pemasaran produk jelly","P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8307,"*PANCA PERMATA PEJATEN, PT*
Jl.wijaya i no.9 ab keb.baru
Kec. kebayoran baru
Jakarta Selatan -
Ph:7267618 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(52373) perdagangan eceran khusus mesin lainnya d","P.T. (Perseroan Terbatas)
Siup: DEP.KEUANGAN NO.360/PMDN/96
NPWP: 16.901.902.0.12"
8308,"*PANCA PILIHAN UTAMA, PT*
Jl. tebet dalam iia no.29
Kec. tebet
Jakarta Selatan -
Ph:8301194 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan ekspor mesin-2, suku cadang, & perleng","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG:SIUP NO.765/0904/PK/III/03
NPWP: 18,104,927,0,15"
8309,"*PANCA TUNGGAL, CV*
Jl.belimbing terusan kebon baru no.6
Kec. cilincing
Jakarta Utara -
Ph:32525626 / Fax:32525626 / Hp:","Usaha Kecil (Perdagangan) 
(51501) perdagangan besar mesin-mesin, suku cadang","CV (Commanditaire Vennotschaap)
Siup: SUDIN KOP, UMKM DAN PERDAGANGAN JAKUT NOMOR 968/1,
NPWP: 21,137,476,4-045,000"
8310,"*PANCA WARNA REKLAME*
Jl p jayakarta no 34 g

Jakarta Pusat -
Ph:0216264261 / Fax:0216295843 / Hp:","Usaha Mikro (Jasa) 
Advertising/reklame","PERORANGAN
Siup:
NPWP:"
8311,"*PANCASONA SINERGY, CV*
Komplek riviera plaza jl. kelapa hybrida tim
Kec. kelapa gading
Jakarta Utara -
Ph:021 45876085 / Fax:021 45876085 / Hp:","Usaha Kecil (Perdagangan) 
Mesin-mesin, suku cadang dan perlengkapannya","CV (Commanditaire Vennotschaap)
Siup:
NPWP: 02,846,151,5-043,000"
8312,"*PANDAWA SENTRA KOMPUTIKA, PT*
Komplek majapahit permai blok b 25 jl. majapahit no 18-22
Kec. gambir
Jakarta Pusat -
Ph:021-3844658 / Fax: / Hp:","Usaha Kecil (Jasa) 
Jasa konsultasi piranti lunak","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG: SIUP, NO. 08178/182451
NPWP: 01.957.282.5.028.000"
8313,"*PANDAWA TIRTA GANGGA, PT*
Gd.putra kalimantan lt.ix jl.jend.gt subroto kav.12
Kec. setiabudi
Jakarta Selatan -
Ph:5253719 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(51500) perdagangan besar mesin-mesin, suku cadang","P.T. (Perseroan Terbatas)
Siup: DEP PERINDAG (SIUP) NO. 1344/0904/PM/XI/2002
NPWP: 20.154.860.0.11"
8314,"*PANDU BAHTERA BAKTI, PT*  
Super blok mega glodok kemayoran blok b no.6
Kec. kemayoran
Jakarta Pusat -
Ph:26647192 / Fax:26647193 / Hp:","(Perdagangan) 
(46599)perdagangan besar mesin peralatan dan perle","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NO.0119-01/PB/P/1829
NPWP: 01.856.272.8.028.000"
8315,"*PANDU LOGISTIK*
Jl kemanggisan utama raya

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa pengiriman","PERORANGAN
Siup:
NPWP:"
8316,"*PANDUAN PRANATA PUTRA, PT*
Jl. nimun raya no.12 rt.012/010 kebayoran lama selatan
Kec. kebayoran lama
Jakarta Selatan -
Ph:7292874 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan besar mesin-2, suku cadang dan perleng","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG: SIUP NO.402/0904/PM/III/03
NPWP: 18,283,770,0,13"
8317,"*PANDUKRIDA GITAPERSADA, PT*
Jl.gunung sahari xi/281 jakarta pusat
Kec. sawah besar
Jakarta Pusat -
Ph:4373848 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
(51501) perdagangan besar mesin-mesin, suku cadang","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NO.0118/V/PMA/2005
NPWP: 01.641.186.0.028.000"
8318,"*PANDUREKA*
Sapta taruna buntu no 1

Jakarta Selatan -
Ph:0217692105 / Fax: / Hp:","Usaha Mikro (Jasa) 
Event organiser","PERORANGAN
Siup:
NPWP:"
8319,"*PANGGUNG ANTAR BANGSA, PT*
Jl. kuningan barat no.1 mampang prapatan
Kec. mampang prapatan
Jakarta Selatan -
Ph:86903298 / Fax: / Hp:","Usaha Kecil (Jasa) 
Jasa konvensi, pameran, & perjalanan insentiv","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG
NPWP: 21,606,611,0,14"
8320,"*PANGKALAN MINYAK TANAH*
Jl. asyiret rt.012/01, kel. sukabumi selatan, kec. kebon jeruk 11560

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
(binary/image)","Siup: KOTA ADMINISTRASI JAKARTA BARAT
NPWP:"
8321,"*PANGKALAN MINYAK TANAH POERI*
Jl raya pahlawan no 3

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8322,"*PANGKAS RAMBUT ASIH*
Jl aup no 10

Jakarta Selatan -
Ph:78846271 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa pangkas rambut dina","PERORANGAN
Siup:
NPWP:"
8323,"*PANGKAS RAMBUT CAMELIA*
Jl sirsak

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8324,"*PANGKAS RAMBUT CENTRAL*
Jl bangka 10 no 6

Jakarta Selatan -
Ph:08128755874 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8325,"*PANGKAS RAMBUT CIKAL*
Jl minang kabau dalam

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8326,"*PANGKAS RAMBUT INDAH*
Jl kubis i no 90

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8327,"*PANGKAS RAMBUT LAKSANA*
Jl damai iv no 63

Jakarta Selatan -
Ph:08881608979 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8328,"*PANGKAS RAMBUT M SIDIK*
Jl.hr rasuna said gg rpi

Jakarta Selatan -
Ph:021-93854447 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa salon pangkas rambut m sidik","PERORANGAN
Siup:
NPWP:"
8329,"*PANGKAS RAMBUT PRIAYANGAN*
Jl ciputat raya no 21

Jakarta Selatan -
Ph:085921288309 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8330,"*PANGKAS RAMBUT PURNAMA INDAH*
Jl pasar jumat rt 03 rw 02 lebak bulus

Jakarta Selatan -
Ph:081585560461 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8331,"*PANGKAS RAMBUT RAPIH SOLEHUDIN*
Jl masjid annur no 9

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8332,"*PANGKAS RAMBUT REKHA ASHARI*
Jl tentara pelajar

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8333,"*PANGSA GLOBAL, PT*
Plaza iii. pondok indah d.iii jl.maria w.maramis
Kec. kebayoran lama
Jakarta Selatan -
Ph:7658508 / Fax: / Hp:","Usaha Kecil (Jasa) 
(binary/image)","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG: SIUP NO.1717/0904/PB/IX/2002
NPWP: 09,896,200,1,3"
8334,"*PANJI ARYANUSANTARA, PT*
Jl. let jend suprapto no.100 c
Kec. senen
Jakarta Pusat -
Ph:4207181 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
(46523)perdagangan besar peralatan telekomunikasi","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NO.01383/P-01//182451271
NPWP: 02.101.129.1.024.000"
8335,"*PANORAMA AIR*
Jl. h lengkong no.95 rt.013/04

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Aquarium dll","Siup: KOTA ADMINISTRASI JAKARTA BARAT
NPWP:"
8336,"*PANTER, CV*
Jl. kebon jahe ii no. 28 jakarta pusat
Kec. gambir
Jakarta Pusat -
Ph:021-3441233 / Fax:021-3441233 / Hp:","Usaha Kecil (Kerajinan) 
Pengrajin sandal","CV (Commanditaire Vennotschaap)
Siup:
NPWP:"
8337,"*PANTI ASUHAN MUSLIMIN JAYA*
Jl sawo iv no 2

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8338,"*PANTI PIJAT H. RAZAK*
Masjid al-fajri

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa pijat tradisional","PERORANGAN
Siup:
NPWP:"
8339,"*PANTI PIJAT RAGA SAKTI*
Jl kirai no 6

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8340,"*PAPA CAFE*
Jl jaksa

Jakarta Pusat -
Ph:021-31923452 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang minuman","PERORANGAN
Siup:
NPWP:"
8341,"*PAPAN BATIK*  
Jl. empu sendok blok s, kebayoran baru, jakarta selatan
Kec. kebayoran baru
Jakarta Selatan -
Ph:(021) 5296246 / Fax: / Hp: 0815 8662 8165",(Perdagangan),"P.T. (Perseroan Terbatas)
Siup:
NPWP:"
8342,"*PAPANDE KARYA JAYA, PT*
Gd. peluru blok. a z, rt 004/03, tebet
Kec. setiabudi
Jakarta Selatan -
Ph:8294158 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan ekspor mesin-2, suku cadang, & perleng","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG:SIUP NO.690/0904/PK/2003
NPWP: 13,281,035,0,15"
8343,"*PARA MULTIFINANCE, PT*
Jl. wijaya i, no. 19 rt 006/04 petogogan, kebayoran baru
Kec. kebayoran baru
Jakarta Selatan -
Ph:72800818 / Fax: / Hp:","Usaha Kecil (Jasa) 
Sewa guna usaha (leasing)","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG
NPWP: 16,903,510,0,12"
8344,"*PARADISE SALON*  
Komp duta merlin gd carefour lt 4 no 2

Jakarta Pusat -
Ph:6310228 / Fax: / Hp:","(Jasa) 
Salon kecantikan","PERORANGAN
Siup:
NPWP:"
8345,"*PARIPURNA*
Komp. h. said rt.003/05, kel. sukabumi selatan, kec. kebon jeruk

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","Siup: KOTA ADMINISTRASI JAKARTA BARAT
NPWP:"
8346,"*PARIS TEXTIL*
Jl tebah ii

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Menjual eceran bahan pakaian","PERORANGAN
Siup:
NPWP:"
8347,"*PARKIR EDI*
Jl kh hasyim ashari

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa parkir","PERORANGAN
Siup:
NPWP:"
8348,"*PARKIR IRWAN*
Jl kaji raya

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa parkir motor","PERORANGAN
Siup:
NPWP:"
8349,"*PARKIR MAMID*
Jl am sangaji kompleks mega

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa parkir motor","PERORANGAN
Siup:
NPWP:"
8350,"*PARKIR MARYADI*
Jl mangga besar xiii

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8351,"*PARKIR ZAINAL*
Jl mangga besar 13 no 31

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8352,"*PARNA JAYA*
Jl kemang selatan 8

Jakarta Selatan -
Ph:7191238 / Fax: / Hp:","Usaha Mikro (Jasa) 
Benhkel motor dan mobil","PERORANGAN
Siup:
NPWP:"
8353,"*PAS DAN SYAKURA*
Rawa indah no. 321 001/03 pegangsaan dua

Jakarta Utara -
Ph:0817831242 / Fax: / Hp:","Usaha Mikro () 
Susu kedelai dalam cup jangkauan pemasaran : jakar","Siup:
NPWP:"
8354,"*PAS PHOTO ABANG ADE*
Jl kramat sentiong depan kios jd 5

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8355,"*PASANG KABEL LAMPU MISTIANI*
Jl h amsir

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8356,"*PASANG PAYET FITRIANI*
Jl pisangan no 101 a

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8357,"*PASANG POMPA EMON S*
Jl garuda gang sawo

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Servis dan pasang pompa pengeboran minyak","PERORANGAN
Siup:
NPWP:"
8358,"*PASAR MINGGU CATERING*
Jl raya tanjung barat

Jakarta Selatan -
Ph:0217806243 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8359,"*PASCA PRO TV FX*
Jl pejaten barat

Jakarta Selatan -
Ph:98993144 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat video shoting","PERORANGAN
Siup:
NPWP:"
8360,"*PASIFIC A C*
Jl salemba raya no aks 48

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8361,"*PASIFIC LOUNDRY*
Kelapa sawit v no 21

Jakarta Timur -
Ph:0218503237 / Fax: / Hp:","Usaha Mikro (Jasa) 
Laundry pakaian","PERORANGAN
Siup:
NPWP:"
8362,"*PASIFIK TIMUR ENERGINDO,PT*  
Wisma kyoei prince lt.17 jl.jend.sudirman kav.3 jakarta pusat
Kec. tanah abang
Jakarta Pusat -
Ph:5703066 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(51501) perdagangan besar mesin-mesin, suku cadang","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NO.0025/182451
NPWP: 01.937.965.0.014.000"
8363,"*PASOMAH FINE ART*
Jl kemang timur no 22

Jakarta Selatan -
Ph:0818353533 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang keramik pajangan","PERORANGAN
Siup:
NPWP:"
8364,"*PATKI BUSANA*
Menteng tenggulun rt. 05/010
Kec. senen
Jakarta Pusat -
Ph:021-3190423 / Fax:021-3190423 / Hp:","Usaha Mikro (Home Industri) 
Pakaian jadi wanita, anak","PERORANGAN
Siup:
NPWP:"
8365,"*PATRA WAHANA KRIDATAMA*
Jl sinabung raya

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8366,"*PATRIA SAMUDRA REFINERY SABANG, PT*
Jl.pondok labu ib/30 pondok labu
Kec. cilandak
Jakarta Selatan -
Ph:5785838 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(51420) perdagangan besar logam & bijih logam","P.T. (Perseroan Terbatas)
Siup: DEP PERINDAG (SIUP) NO. 11237/0904/PM/XI/2002
NPWP: 20.611.315.0.16"
8367,"*PATRICIA COURSES*
Vila gading indah k/8

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa pendidikan kecantikan","PERORANGAN
Siup:
NPWP:"
8368,"*PATUNG FIBER*
Jl prepedan raya no 16

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat patung dari fiber","PERORANGAN
Siup:
NPWP:"
8369,"*PAUD TAMAN CEMPAKA*
Jl b ii

Jakarta Pusat -
Ph:0216265033 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa pendidikan anak","PERORANGAN
Siup:
NPWP:"
8370,"*PB MAJU*
Jl raya cilangkap no 10

Jakarta Timur -
Ph:0219257721 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat conblok","PERORANGAN
Siup:
NPWP:"
8371,"*PD AGUNG JAYA*
Jl muchtar raya no 15c

Jakarta Selatan -
Ph:085214333739 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat pintu dan jendela","PERORANGAN
Siup:
NPWP:"
8372,"*PD AGUNG JAYA ATA*
Jl mahoni selatan no 51

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Industri kusen pintu","PERORANGAN
Siup:
NPWP:"
8373,"*PD ANEKA JAYA RUDY*
Jl gang cabang beringin

Jakarta Utara -
Ph:65307904 / Fax: / Hp:","Usaha Mikro (Jasa) 
Buat kusen, lemari","PERORANGAN
Siup:
NPWP:"
8374,"*PD BAJA LIEM CENG*
Jl kapuk poglar

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8375,"*PD BINA KARYA*
Pondok kelapa raya

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Industri furnitur","PERORANGAN
Siup:
NPWP:"
8376,"*PD BORODUDUR*
Jl bungur besar no 55 / 2 c

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Usaha fotocopy","PERORANGAN
Siup:
NPWP:"
8377,"*PD CITRA ABADI*
Plaza kebon sirih jl kebon sirih 17-19

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8378,"*PD DASMI JAYA*
Jl komplek pik blok a no 100

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Pembuatan rangka tas","PERORANGAN
Siup:
NPWP:"
8379,"*PD DUA PUTRA*
Jl cengkeh raya

Jakarta Barat -
Ph:6918410 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat tenda dan terpal","PERORANGAN
Siup:
NPWP:"
8380,"*PD DUTA KARYA GRAFIKA*
Jl dewi sartika cililitan kecil

Jakarta Timur -
Ph:8004883 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8381,"*PD GARUDA JAYA*
Jl lautze raya no 27

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Usaha pemotongan kertas","PERORANGAN
Siup:
NPWP:"
8382,"*PD GUNUNG TIMUR*
Jl jelambar raya no 40

Jakarta Barat -
Ph:0215677906 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang terigu boga sari","PERORANGAN
Siup:
NPWP:"
8383,"*PD HIDAYAT JAYA*
Jl pahlawan revolusi no 35

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
8384,"*PD HISAM JAYA*
Jl ciledug raya

Jakarta Selatan -
Ph:021-5863532 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kusen pintu dan jendela","PERORANGAN
Siup:
NPWP:"
8385,"*PD IRAMA*
Jl kali baru barat

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang bahan konstruksi dari kayu","PERORANGAN
Siup:
NPWP:"
